surface,velocity,target_angle,time,aruco_x,aruco_y,aruco_theta,x,y,theta,odom_x,odom_y,odom_theta,x_loc,y_loc,theta_loc,wheel_joint_fl,wheel_joint_fr,wheel_joint_bl,wheel_joint_br
linoleum,0.2,0.08726646259971647,1.5999929904937744,-0.4995016188239373,-0.31275851594200804,0.313766102601086,0.07497699745397834,0.0036582309698194315,0.6418893584952338,0.008152763649457544,0.1377588983658533,-0.09937787877540638,0.25115926083941603,-0.040163170801202075,-0.0008536695706940906,-0.067,0.574,-0.14,-0.182
linoleum,0.2,0.08726646259971647,1.7999379634857178,-0.46047632551233847,-0.31382645764099976,0.28055359497795634,0.11400229076557716,0.002590289270827717,0.6086768508721041,0.04875304305393232,0.132315764597578,-0.09942172649967386,0.29175954024389084,-0.045606304569477396,-0.0008975172949615695,0.035,0.634,-0.384,-0.237
linoleum,0.2,0.08726646259971647,2.0001718997955322,-0.4195599552697232,-0.31210461095755354,0.2483131466531691,0.15491866100819246,0.004312135954273932,0.5764364025473169,0.08713452586167657,0.12730103197735276,-0.09959151799290604,0.33014102305163506,-0.05062103718970262,-0.0010673087881937493,0.035,0.646,-0.407,-0.032
linoleum,0.2,0.08726646259971647,2.2001891136169434,-0.3723693908479509,-0.3093760210756538,0.23098333413452746,0.20210922542996473,0.007040725836173656,0.5591065900286752,0.127213463396229,0.12212674954904693,-0.09985926022298437,0.3702199605861875,-0.05579531961800846,-0.001335051018272082,0.084,0.581,-0.462,-0.133
linoleum,0.2,0.08726646259971647,2.400329113006592,-0.33122681115083363,-0.3095875069445385,-0.2515870797099806,0.243251805127082,0.006829239967288958,0.07653617618416714,0.16271704330993664,0.11766011793894318,-0.09967268103424423,0.4057235404998951,-0.060261951228112204,-0.0011484718295319413,0.045,0.745,-0.442,-0.215
linoleum,0.2,0.08726646259971647,2.5999395847320557,-0.28966657771194293,-0.306860175534775,0.20499347461994566,0.2848120385659727,0.009556571377052459,0.5331167305140934,0.20276499033316753,0.11260685582134873,-0.0996260356891986,0.445771487523126,-0.06531521334570665,-0.0011018264844863124,0.022,0.566,-0.533,-0.128
linoleum,0.2,0.08726646259971647,2.8001928329467773,-0.24813680408524885,-0.30645952334044657,-0.25276084445419916,0.3263418121926668,0.009957223571380902,0.0753624114399486,0.24538993232788375,0.10676853796144971,-0.10032662566199528,0.48839642951784223,-0.07115353120560568,-0.0018024164572829904,0.076,0.645,-0.582,-0.053
linoleum,0.2,0.08726646259971647,3.000185489654541,-0.2057301973491728,-0.3037804544192474,0.23532833106513634,0.3687484189287428,0.012636292492580081,0.5634515869592841,0.28509414414551026,0.10146874467897621,-0.10120252633023732,0.5281006413354687,-0.07645332448807918,-0.0026783171255250343,-0.008,0.745,-0.382,-0.237
linoleum,0.2,0.08726646259971647,3.1999828815460205,-0.1622331691962915,-0.3055161734675773,0.17568416859209063,0.41224544708162414,0.010900573444250161,0.5038074244862384,0.32465951292013007,0.09640442928791054,-0.10133311184637736,0.5676660101100885,-0.08151763987914484,-0.0028089026416650703,0.066,0.671,-0.392,-0.066
linoleum,0.2,0.08726646259971647,3.399914503097534,-0.11956461870189339,-0.3045054794505518,-0.1564683587542638,0.45491399757602224,0.011911267461275687,0.17165489713988397,0.36271816446879046,0.09142567709712374,-0.10170900182802169,0.6057246616587489,-0.08649639206993165,-0.003184792623309396,0.105,0.743,-0.506,-0.071
linoleum,0.2,0.08726646259971647,3.5998659133911133,-0.0790201207379213,-0.3024832160989508,0.2837180234230617,0.4954584955399943,0.013933530812876682,0.6118412793172094,0.40273047534941825,0.08620860952535157,-0.1024327589609123,0.6457369725393768,-0.09171345964170381,-0.0039085497562000165,0.103,0.79,-0.515,-0.11
linoleum,0.2,0.08726646259971647,4.381424188613892,0.0007629762217032502,-0.2980172703407357,-0.3372979552324448,0.5752415924996189,0.018399476571091755,-0.009174699338297065,0.45738338489674507,0.07923124306372711,-0.10280021285773257,0.7003898820867036,-0.09869082610332827,-0.004276003653020277,0.152,0.838,-0.607,-0.157
linoleum,0.2,-3.0543261909900767,0.20000743865966797,0.18402872890778518,-0.2890623520357909,-0.24391832912861747,0.0005236893323456449,-0.0012925100780014076,-0.04124933899881175,0.47334252512307823,0.07793004031700916,-0.10275451503945063,0.0,0.0,0.0,0.241,0.467,-0.327,-0.244
linoleum,0.2,-3.0543261909900767,0.40001511573791504,0.18413360333593715,-0.2896444732611384,-0.19380695247295854,0.000628563760497608,-0.001874631303348917,0.008862037656847177,0.4574170247811353,0.08035758687677882,-0.10279275200425893,-0.015925500341942955,0.002427546559769664,-3.8236964808299745e-05,0.65,-0.44,0.531,-0.778
linoleum,0.2,-3.0543261909900767,0.6000058650970459,0.18402872890778518,-0.2890623520357909,-0.24391832912861747,0.0005236893323456449,-0.0012925100780014076,-0.04124933899881175,0.4209297077451123,0.08815233683961984,-0.10251576373003209,-0.05241281737796594,0.010222296522610683,0.00023875130941854172,0.141,-0.229,0.294,-0.282
linoleum,0.2,-3.0543261909900767,0.8000085353851318,0.18402872890778518,-0.2890623520357909,-0.24391832912861747,0.0005236893323456449,-0.0012925100780014076,-0.04124933899881175,0.388995578239886,0.09461041215018906,-0.10252788796241763,-0.08434694688319222,0.0166803718331799,0.00022662707703299811,0.123,-0.082,0.322,-0.162
linoleum,0.2,-3.0543261909900767,1.000037431716919,0.18402872890778518,-0.2890623520357909,-0.24391832912861747,0.0005236893323456449,-0.0012925100780014076,-0.04124933899881175,0.34173235799536494,0.1040307281861666,-0.1024971110350859,-0.13161016712771328,0.026100687869157438,0.00025740400436473354,0.223,-0.217,0.387,-0.143
linoleum,0.2,-3.0543261909900767,1.2000224590301514,0.18350503957543954,-0.2877698419577895,-0.20266899012980572,0.0,0.0,0.0,0.3110645961516257,0.11023832399493103,-0.10239358792324714,-0.16227792897145255,0.032308283677921865,0.0003609271162034883,0.163,-0.254,0.335,-0.114
