surface,motion_type,angle_deg,I_mean_wheel_joint_fl,I_mean_wheel_joint_fr,I_mean_wheel_joint_bl,I_mean_wheel_joint_br,number,target_angle,I_std_wheel_joint_fl,I_std_wheel_joint_fr,I_std_wheel_joint_bl,I_std_wheel_joint_br,I_total,I_std,cls_raw,linoleum_raw,grass_raw,rubber_carpet_raw,cell_carpet_raw,cls_memory,linoleum_memory,grass_memory,rubber_carpet_memory,cell_carpet_memory
grass,square,-180.0,0.06601607347876,-1.6016647531572905,1.999598163030999,-0.0940298507462686,10,-3.141592653589793,0.7196684891492442,0.5282259806369713,0.6190986939813764,0.7993575462480991,3.7613088404133177,1.4767884520410486,grass,0.015176727987731752,0.3716388079967644,0.29947477091999114,0.31370969309551267,grass,0.018261452325598213,0.3689497996532308,0.2945914240473813,0.31819732397378964
grass,hourglass,-150.0,0.2463404133180252,-1.2253157290470724,1.5823765786452353,-0.4666331802525832,11,-2.6179938779914944,0.8444793582492836,1.2006367667786335,1.4018118941249489,1.131783865662309,3.5206659012629165,1.194301472204935,cell_carpet,0.15575294135553408,0.27169423626079436,0.122663480936076,0.4498893414475954,cell_carpet,0.15575294135553408,0.27169423626079436,0.122663480936076,0.4498893414475954
grass,hourglass,-150.0,0.3530042097206276,-1.2565633371603522,1.4364332185227706,-0.4987370838117106,12,-2.6179938779914944,0.8085888358874274,1.2312136793527984,1.427556444172339,1.0770041896466307,3.544737849215461,1.156914161120634,cell_carpet,0.14820841918819477,0.2751830356026343,0.12455116461575572,0.4520573805934153,cell_carpet,0.15198068027186443,0.27343863593171436,0.12360732277591585,0.45097336102050534
grass,hourglass,-150.0,-0.1324913892078071,-1.6580176042862609,1.9931879066207423,-0.122158438576349,13,-2.6179938779914944,0.7681452760811796,0.8480762100288816,0.9505132397070124,0.9441468694318236,3.90585533869116,1.5002973230714975,cell_carpet,0.06263212224637632,0.32237639978314225,0.1530236074485742,0.4619678705219073,cell_carpet,0.10730640125912037,0.2979075178574283,0.13831546511224502,0.4564706157712063
grass,hourglass,-150.0,-0.2128587830080367,-1.595713738997321,2.1140451588212783,0.0427095292766934,14,-2.6179938779914944,0.8744036922797849,0.788001891062293,0.9615348303517656,0.8718224568053002,3.9653272101033297,1.5310469762615555,cell_carpet,0.053311415162686664,0.32916378739497815,0.1577549308762179,0.45976986656611724,cell_carpet,0.08030890821090352,0.3135356526262032,0.14803519799423145,0.4581202411686618
grass,square,-90.0,-2.2922835216629407,-2.1648437972082903,2.904284246782283,2.559973412290773,6,-1.5707963267948966,0.8449907751394493,0.5714607015857426,0.7526297443291411,0.9723820439053172,9.921384977944289,2.867976370614148,grass,0.003492609530565989,0.6957182863714233,0.23805411791072803,0.06273498618728285,grass,0.003492609530565989,0.6957182863714233,0.23805411791072803,0.06273498618728285
grass,square,-90.0,-2.259070034443169,-2.34150401836969,3.0105051664753155,2.6878874856486794,7,-1.5707963267948966,0.8806917681302114,0.6111721802200561,0.6292699661221611,1.0101592280701828,10.298966704936854,2.9761618214401278,grass,0.003678294772586085,0.6635474129445361,0.29804975082724466,0.03472454145563305,grass,0.0035854521515760367,0.6796328496579798,0.26805193436898633,0.04872976382145795
grass,square,-90.0,-2.293570608495981,-2.176521239954076,2.8564867967853043,2.6392078071182548,8,-1.5707963267948966,0.8638278767771227,0.5692624923180464,0.6739237447591198,0.9588324117238712,9.965786452353615,2.8786385821826794,grass,0.0035133861243008737,0.6932085180745993,0.24464766411896666,0.05863043168213326,grass,0.003549419137938455,0.6864206838662895,0.2563497992439765,0.05368009775179561
grass,square,-90.0,-2.376349024110218,-2.1818599311136624,2.89247990815155,2.830597014925373,9,-1.5707963267948966,0.4844992280553232,0.7236718315424189,0.927392244813095,0.686674112468048,10.281285878300803,2.9691209461006705,grass,0.0036690858424232877,0.665570757670125,0.2950390417772906,0.03572111471016123,grass,0.0036092524901808714,0.6759957207682072,0.27569442051063353,0.04470060623097842
grass,square,-90.0,-2.327611940298507,-2.235361653272101,2.5121125143513203,2.7488518943742823,10,-1.5707963267948966,0.5716346767044855,0.8009698731906958,0.9629384090602804,0.6486628203561491,9.82393800229621,2.837822950373224,grass,0.0034477732390974436,0.6999412401766304,0.2240023877008399,0.07260859888343227,grass,0.0035285128646391564,0.6879684804724188,0.24984840410573667,0.05865460255720533
grass,hourglass,-90.0,-2.114963643321852,-2.2815920398009952,2.7402985074626867,2.2381936471488717,11,-1.5707963267948966,1.3328838700410943,0.9718887257960074,1.034876980546404,1.5469977836452269,9.375047837734408,2.7149473688320445,grass,0.0032488567505729415,0.6949822272837831,0.16638268921469065,0.13538622675095324,grass,0.0033886848076060496,0.691475353878101,0.20811554666021367,0.0970204146540793
grass,hourglass,-90.0,-2.1154228855721398,-2.0987370838117108,2.787370838117107,2.3047072330654417,12,-1.5707963267948966,1.362500594932982,0.993691317330658,1.0915185764016873,1.854474507937537,9.3062380405664,2.693704877594686,grass,0.0032186029439527676,0.6905252232830097,0.15853696900258268,0.1477192047704549,grass,0.003303643875779409,0.6910002885805554,0.1833262578313982,0.12236980971226712
grass,hourglass,-90.0,-2.1748182166092613,-2.018140068886338,2.205970149253732,2.5773440489858404,13,-1.5707963267948966,1.0189154409730938,1.3644669163193637,1.5918825805632513,1.1479809565465755,8.976272483735173,2.596446304294477,grass,0.003071122824822042,0.6557160836822227,0.12437994006854462,0.21683285342441064,grass,0.0031873833503007244,0.673358186131389,0.15385309894997137,0.16960133156833884
grass,hourglass,-90.0,-2.200918484500574,-2.038729429774206,2.296364332185228,2.7086107921928817,14,-1.5707963267948966,0.8173413172293201,1.3287609889852638,1.3243449663560811,1.1236228523210907,9.24462303865289,2.6748140121217703,grass,0.0031914075507564065,0.6856953963914479,0.15172595907769493,0.1593872369801008,grass,0.0031893954505285652,0.6795267912614185,0.15278952901383314,0.1644942842742198
grass,hourglass,-30.0,-2.2465146793505,-0.5382155158274561,0.9087256027554534,2.833934721994424,11,-0.5235987755982988,0.7565080495925699,0.3845609883938143,0.2330237819450515,0.7920616268015993,6.527390519927834,2.1574726604956203,rubber_carpet,0.0037881500816776496,0.3743809211431881,0.5613907750388358,0.06044015373629842,rubber_carpet,0.0037881500816776496,0.3743809211431881,0.5613907750388358,0.06044015373629842
grass,hourglass,-30.0,-1.5400196818107266,-0.1080859439068394,-0.025668361489257,2.062407741512219,12,-0.5235987755982988,0.6687404424475575,0.7698358053410207,0.8271331199966347,0.8909853441289582,3.7361817287190418,1.4832137067776558,cell_carpet,0.05998634692637543,0.3308177952279086,0.17883635274396242,0.4303595051017535,rubber_carpet,0.03188724850402655,0.3525993581855484,0.3701135638913992,0.245399829419026
grass,hourglass,-30.0,-1.273096058170685,0.3921163413700727,-0.3484117872177573,1.3109070034443169,13,-0.5235987755982988,1.296929861564032,1.0324930704538149,1.030369527407502,1.5567203812909054,3.324531190202832,1.0973810564990862,cell_carpet,0.15456560176277734,0.27961384652552584,0.1426352147329675,0.42318533697872934,cell_carpet,0.09322642513340194,0.3161066023555371,0.25637438931218337,0.33429258319887767
