surface,angle_deg,target_angle,I_total_mean,I_total_std,cls_raw,linoleum_raw,grass_raw,rubber_carpet_raw,cell_carpet_raw,cls_memory,linoleum_memory,grass_memory,rubber_carpet_memory,cell_carpet_memory
linoleum,-110,-1.9198621771937625,3.736764893481312,0.6855894381932077,linoleum,0.9955669237745637,0.0013463975861161045,0.00195467754232943,0.0011320010969907781,linoleum,0.9955669237745637,0.0013463975861161045,0.00195467754232943,0.0011320010969907781
linoleum,-105,-1.832595714594046,3.8661882893226176,0.4996238537481345,linoleum,0.9959405057990873,0.001252188310861467,0.0016974853111438133,0.0011098205789074772,linoleum,0.9959405057990873,0.001252188310861467,0.0016974853111438133,0.0011098205789074772
linoleum,-100,-1.7453292519943295,3.6798972172106494,0.5351553729686265,linoleum,0.9833783437466537,0.012065438062684824,0.0024966389687295387,0.0020595792219318928,linoleum,0.9833783437466537,0.012065438062684824,0.0024966389687295387,0.0020595792219318928
linoleum,-95,-1.6580627893946132,3.6858655440744994,0.7800299282597469,linoleum,0.9840234843133665,0.01138556070509661,0.002485618791820917,0.00210533618971593,linoleum,0.9840234843133665,0.01138556070509661,0.002485618791820917,0.00210533618971593
linoleum,-90,-1.5707963267948966,3.8426573426573434,0.5104004527697816,linoleum,0.9855655210363337,0.011201343927807878,0.0016527613677696762,0.001580373668088809,linoleum,0.9855655210363337,0.011201343927807878,0.0016527613677696762,0.001580373668088809
linoleum,-85,-1.4835298641951802,3.937035470421174,0.9433122457231244,linoleum,0.9847938957469714,0.012134064750944494,0.0015601882886453811,0.0015118512134388146,linoleum,0.9847938957469714,0.012134064750944494,0.0015601882886453811,0.0015118512134388146
linoleum,-80,-1.3962634015954636,3.7448788446431807,0.4462127574335408,linoleum,0.9736659724164543,0.02134404108557806,0.0029325239146026946,0.002057462583365006,linoleum,0.9736659724164543,0.02134404108557806,0.0029325239146026946,0.002057462583365006
linoleum,-75,-1.3089969389957472,3.5733743868072225,0.5822846079140052,linoleum,0.9704582941541373,0.024125327921982343,0.0033001249508946484,0.002116252972985627,linoleum,0.9704582941541373,0.024125327921982343,0.0033001249508946484,0.002116252972985627
linoleum,-70,-1.2217304763960306,3.849911282747104,0.8349077384743089,linoleum,0.9719222248246338,0.008848138077409577,0.002154467845248177,0.01707516925270852,linoleum,0.9719222248246338,0.008848138077409577,0.002154467845248177,0.01707516925270852
linoleum,-65,-1.1344640137963142,3.6511571696175,0.5085816010731499,linoleum,0.9646721186953044,0.011394172378926879,0.0026982285260086546,0.02123548039975993,linoleum,0.9646721186953044,0.011394172378926879,0.0026982285260086546,0.02123548039975993
linoleum,-60,-1.0471975511965976,3.733092777868897,0.4052800855772384,linoleum,0.9188566694153497,0.04741313757367643,0.014786370252282943,0.018943822758691,linoleum,0.9188566694153497,0.04741313757367643,0.014786370252282943,0.018943822758691
linoleum,-55,-0.9599310885968813,3.5400470176589582,0.4666812081967335,linoleum,0.8855513033284564,0.061016538658352285,0.02129991529616451,0.032132242717026964,linoleum,0.8855513033284564,0.061016538658352285,0.02129991529616451,0.032132242717026964
linoleum,-50,-0.8726646259971648,3.0180416598327047,0.4718795330418135,linoleum,0.9440176008327579,0.012080819589599959,0.011993999256989348,0.03190758032065287,linoleum,0.9440176008327579,0.012080819589599959,0.011993999256989348,0.03190758032065287
linoleum,-45,-0.7853981633974483,2.7929784276995586,0.8778651369166661,linoleum,0.9154365933053673,0.019370431581822885,0.018255880723660925,0.04693709438914882,linoleum,0.9154365933053673,0.019370431581822885,0.018255880723660925,0.04693709438914882
linoleum,-40,-0.6981317007977318,2.544803455251216,0.5123647747248649,linoleum,0.9371116923405823,0.029220787678956774,0.010869061057487252,0.022798458922973656,linoleum,0.9371116923405823,0.029220787678956774,0.010869061057487252,0.022798458922973656
