surface,angle_deg,target_angle,I_total_mean,I_total_std
rubber_carpet,80,1.3962634015954636,13.110948752739796,2.7676310137260467
rubber_carpet,85,1.4835298641951802,12.889938419789166,2.3936683005718455
rubber_carpet,90,1.5707963267948966,12.999081515499427,2.5763681591329206
rubber_carpet,95,1.6580627893946132,13.047187141216991,2.7422160958753055
rubber_carpet,100,1.7453292519943295,13.008725602755453,2.747689562451714
rubber_carpet,105,1.832595714594046,13.280242145913787,2.60786010283411
rubber_carpet,110,1.9198621771937625,12.83853459972863,2.4492025829411426
rubber_carpet,115,2.007128639793479,12.394546498277842,2.90418902924153
rubber_carpet,120,2.0943951023931957,12.439724454649829,2.9187966484236623
rubber_carpet,125,2.181661564992912,11.658347936431204,2.926390374601399
rubber_carpet,130,2.2689280275926285,10.299812128170338,2.348769156742577
rubber_carpet,135,2.356194490192345,9.437313432835822,2.2521940622024523
rubber_carpet,140,2.443460952792061,9.245016177852,2.141639583262241
rubber_carpet,145,2.530727415391778,8.867341613610272,2.2933583700927835
rubber_carpet,150,2.6179938779914944,7.62692609825367,2.2568738996656537
rubber_carpet,155,2.705260340591211,6.825644504748983,2.1438946352692745
rubber_carpet,160,2.792526803190927,6.478760045924226,2.014377654545518
rubber_carpet,165,2.8797932657906435,4.935596741566891,1.349686863839034
rubber_carpet,170,2.9670597283903604,3.9230195177956375,0.9016688742720411
rubber_carpet,175,3.0543261909900767,3.199004975124378,0.553552949129354
cell_carpet,-180,-3.141592653589793,1.7720190257503692,0.49307539896727764
cell_carpet,-175,-3.0543261909900767,1.9312667432070418,0.3829697220255892
cell_carpet,-170,-2.9670597283903604,2.379951205510907,0.507836673392272
cell_carpet,-165,-2.8797932657906435,2.969307309605817,0.691959918354304
cell_carpet,-160,-2.792526803190927,3.434519709146575,0.829748512673026
cell_carpet,-155,-2.705260340591211,3.8851128970531956,0.818959290730844
cell_carpet,-150,-2.6179938779914944,4.462614810562572,0.9881999268099807
cell_carpet,-145,-2.530727415391778,4.69345579793341,0.8691097024558438
cell_carpet,-140,-2.443460952792061,4.809261385380789,0.6939449371060228
cell_carpet,-135,-2.356194490192345,5.0421928817451205,0.6856778623183746
cell_carpet,-130,-2.2689280275926285,5.362873134328359,0.712182726888965
cell_carpet,-125,-2.181661564992912,6.014159969383851,1.0343767839156377
cell_carpet,-120,-2.0943951023931957,6.5171202809482,1.0182171904612103
cell_carpet,-115,-2.007128639793479,6.82334481438959,1.4996141173685482
cell_carpet,-110,-1.9198621771937625,6.6780281285878305,1.4805949238777674
cell_carpet,-105,-1.832595714594046,6.702755453501723,1.2124859657255627
cell_carpet,-100,-1.7453292519943295,6.675294854399332,1.4222106541495416
cell_carpet,-95,-1.6580627893946132,6.137645107794361,2.1188764022461903
cell_carpet,-90,-1.5707963267948966,7.073478760045925,0.8839712498501124
cell_carpet,-85,-1.4835298641951802,6.975315729047073,0.7473502813459543
cell_carpet,-80,-1.3962634015954636,7.058553386911597,0.728692429359393
cell_carpet,-75,-1.3089969389957472,6.868643209292902,1.3337150161986329
cell_carpet,-70,-1.2217304763960306,6.751779563719862,1.1992416629327904
cell_carpet,-65,-1.1344640137963142,6.451435132032147,1.2059945139300634
cell_carpet,-60,-1.0471975511965976,6.477994642173746,0.9304215149960263
cell_carpet,-55,-0.9599310885968813,5.845847684653654,0.9857854338124198
cell_carpet,-50,-0.8726646259971648,5.6279372368924605,0.7932295948699846
cell_carpet,-45,-0.7853981633974483,5.167121125143513,0.603861645087552
cell_carpet,-40,-0.6981317007977318,4.900330080367394,0.6763111028522082
cell_carpet,-35,-0.6108652381980153,4.783438576349024,0.702990724816395
cell_carpet,-30,-0.5235987755982988,4.429176234213547,0.9034135935744283
cell_carpet,-25,-0.4363323129985824,3.9383610792192885,0.8117636388604854
cell_carpet,-20,-0.3490658503988659,3.50091173093807,0.7692108232829113
cell_carpet,-15,-0.2617993877991494,2.8808266360505166,0.7612273269068481
cell_carpet,-10,-0.1745329251994329,2.8563337160352087,1.5847754217657803
cell_carpet,-5,-0.0872664625997164,1.8819477274262173,0.6148566881148084
cell_carpet,0,0.0,1.5951779563719863,0.46430309719870466
cell_carpet,5,0.0872664625997164,2.117412935323383,0.5176027592914054
cell_carpet,10,0.1745329251994329,2.440030616150019,0.7508251488563427
cell_carpet,15,0.2617993877991494,2.8619813022798097,0.6120925006844855
cell_carpet,20,0.3490658503988659,3.4405704272161457,1.1625541194082099
cell_carpet,25,0.4363323129985824,4.050434639986879,0.9307615265832982
cell_carpet,30,0.5235987755982988,4.518484500574052,0.8378691152179097
cell_carpet,35,0.6108652381980153,4.919058553386911,0.8457742266681837
cell_carpet,40,0.6981317007977318,5.048292192881745,0.7760636339302165
cell_carpet,45,0.7853981633974483,5.348686432092929,0.7261092761746659
cell_carpet,50,0.8726646259971648,5.931653947457284,0.8970547472123906
cell_carpet,55,0.9599310885968813,6.499961729812477,0.9090237563463047
cell_carpet,60,1.0471975511965976,6.7067738231917335,1.0816746972608158
cell_carpet,65,1.1344640137963142,7.014452623759033,0.6791992235416778
cell_carpet,70,1.2217304763960306,6.908993494068121,0.6066851704647349
cell_carpet,75,1.3089969389957472,6.949789513968619,0.995991718526115
cell_carpet,80,1.3962634015954636,6.864523536165327,0.5959305262494125
cell_carpet,85,1.4835298641951802,7.05750965452458,0.6347662959927589
cell_carpet,90,1.5707963267948966,7.304978603486066,0.9948806962948293
cell_carpet,95,1.6580627893946132,7.317164179104477,0.8205805357801476
cell_carpet,100,1.7453292519943295,7.006366767560798,0.6323459708501956
cell_carpet,105,1.832595714594046,6.985885054366178,0.537578738690206
cell_carpet,110,1.9198621771937625,6.830539609644087,1.6805501067170885
cell_carpet,115,2.007128639793479,6.912959242250287,0.746057518926448
cell_carpet,120,2.0943951023931957,6.730397784831499,0.9065382000917467
cell_carpet,125,2.181661564992912,6.288251052430157,1.1585165553950008
cell_carpet,130,2.2689280275926285,5.708381171067738,0.7412862022868018
cell_carpet,135,2.356194490192345,5.183467278989667,0.7699951648692863
cell_carpet,140,2.443460952792061,5.18398392652124,0.7953920770363121
cell_carpet,145,2.530727415391778,4.833371603520858,0.7303249945035032
cell_carpet,150,2.6179938779914944,5.232862835145539,0.7630835734129565
cell_carpet,155,2.705260340591211,4.211724184507327,0.9054245200915804
cell_carpet,160,2.792526803190927,3.710605625717566,0.9204092413065588
cell_carpet,165,2.8797932657906435,2.98867202449292,0.7924681970153685
cell_carpet,170,2.9670597283903604,2.7809988518943745,1.5249532624358464
cell_carpet,175,3.0543261909900767,1.9031285878300803,0.3684458900192143
