surface,motion_type,angle_deg,I_mean_wheel_joint_fl,I_mean_wheel_joint_fr,I_mean_wheel_joint_bl,I_mean_wheel_joint_br,number,target_angle,I_std_wheel_joint_fl,I_std_wheel_joint_fr,I_std_wheel_joint_bl,I_std_wheel_joint_br,I_total,I_std
grass,square,-90.0,-1.891641791044776,-2.1498966704936855,2.8014695752009184,2.244374282433984,7,-1.5707963267948966,1.1847936370884475,0.6483183662290232,0.7637994097372793,1.370933729270107,9.087382319173365,2.6352517101596002
grass,square,0.0,-1.6647416762342138,-0.3133065442020664,0.48646383467278986,2.045694603903559,7,0.0,0.8692918979653289,0.6915077188000225,0.861216373470743,0.7680573273656037,4.5102066590126295,1.550728837316379
grass,square,90.0,1.9299311136624568,2.1666590126291623,-2.445981630309989,-2.3876463834672794,7,1.5707963267948966,1.0415720975656173,0.7687725976209006,0.9028532051417304,1.488562799300829,8.930218140068888,2.5798527449508013
grass,square,-180.0,1.6761194029850746,0.3636280137772677,-0.19205510907003434,-2.1971871412169923,8,-3.141592653589793,0.47082432605198704,0.8401290878984777,0.9855025582852401,0.6544065220085731,4.428989667049368,1.6099256115579517
grass,square,-90.0,-1.9116647531572906,-1.9896326061997702,2.624615384615385,2.228553386911596,8,-1.5707963267948966,1.1502484760669236,0.6072254102137664,0.74492300008475,1.3187406484835305,8.754466130884042,2.5325640074349907
grass,square,0.0,-1.4762704695147744,-0.18996918242794109,0.5383044292706508,2.122678107438516,8,0.0,0.5888113165870011,0.7807002807601561,0.90003820852247,0.601846950618991,4.3272221886518825,1.5015123980070342
grass,square,90.0,1.8817451205510907,2.23179104477612,-2.3493226176808264,-2.1392307692307697,8,1.5707963267948966,1.0136694423587596,0.7055852405052851,0.8590363039207946,1.3745703106905625,8.602089552238807,2.4887963311012995
grass,square,-180.0,-0.3765212399540758,-1.6893685419058553,2.136119402985075,0.39795637198622247,9,-3.141592653589793,0.8379077127533258,0.49997946549172373,0.6374086810709936,1.0499590225012654,4.599965556831227,1.5981562461468946
grass,square,-90.0,-2.202675086107922,-1.8654994259471869,2.464121699196326,2.6244661308840413,9,-1.5707963267948966,0.5701495203335899,0.9021147224800883,1.279243455065828,0.6233407717268284,9.156762342135476,2.6477205938238417
grass,square,0.0,-0.40619977037887484,1.0009547404677024,-0.9345458940117226,0.7306181642395309,9,0.0,0.40709272623070974,0.8265577745790046,0.9845537454124269,0.4197826935201226,3.072318569097831,0.9194021776691179
grass,square,90.0,2.0745393909573013,2.1840686676507577,-2.1069706412989992,-2.912918921874146,9,1.5707963267948966,0.6188586139195544,1.0809776707231136,1.2692942572831374,0.889477561105573,9.278497621781204,2.698975372004308
grass,square,-180.0,-0.23059701492537316,-1.7398507462686563,2.1547876004592426,0.3002985074626862,10,-3.141592653589793,0.962921783516513,0.4766247721924014,0.5577941288695459,1.103786820492926,4.425533869115958,1.6077754629177878
grass,square,-90.0,-2.12556831228473,-1.9037887485648677,2.1198048220436285,2.481526980482204,10,-1.5707963267948966,0.6015125410843667,1.0451191136094522,1.2335099866923736,0.7496568199921222,8.63068886337543,2.497479536885991
grass,square,0.0,0.14562813463049123,1.6781436944830506,-1.9659798175116319,-0.4684150099703913,10,0.0,0.8145096744354828,0.4995347754654283,0.6447322065161862,0.9757243249837175,4.258166656595565,1.5087133553488195
grass,square,90.0,2.0096326061997707,2.070252583237658,-2.0341102181400683,-2.8010103329506317,10,1.5707963267948966,0.6643170199325101,1.1614992223412886,1.2189718518878088,0.7482922290527053,8.915005740528128,2.5926329681277447
grass,hourglass,-150.0,0.6410734787600458,-0.6249138920780712,0.8727611940298508,-0.9366102181400688,11,-2.6179938779914944,1.0015859222201027,1.5203756318212978,1.7175505214381594,1.2605173319894956,3.0753587830080367,0.9018268144161443
grass,hourglass,-90.0,-1.5188518943742826,-1.8639112131649445,2.2495981630309987,1.5340834290088021,11,-1.5707963267948966,1.6836500202253037,1.2665564773779503,1.2783518927493878,2.004383684992656,7.166444699579028,2.0940388441219397
grass,hourglass,-30.0,-1.9966978295336504,-0.4110559838171779,0.8727516264829698,2.574237329834345,11,-0.5235987755982988,0.8127924779424315,0.3570395993864988,0.1314707607051018,0.7612869430027818,5.854742769668142,1.9385699244153738
grass,hourglass,30.0,-0.6619977037887487,0.7632462686567164,-0.6449483352468428,0.7682979334098737,11,0.5235987755982988,1.0974206501114523,1.438804139014894,1.6879480999792333,1.1845306040104604,2.8384902411021815,0.8194337094095955
grass,hourglass,90.0,1.4320091848450056,2.0156754688097975,-2.0065671641791045,-1.466406429391504,11,1.5707963267948966,1.7744145449499533,1.2902173519318065,1.405857029204184,2.3225048055423967,6.920658247225411,2.0240304361137174
grass,hourglass,150.0,1.145350172215844,-0.2613580449401345,0.7088076103001476,-1.4508118746924716,11,2.6179938779914944,0.9804779064548224,1.0266465064500425,1.196976119851936,1.1327281318938782,3.5663277021485977,1.152151354425904
grass,hourglass,-150.0,0.6916953693073093,-0.6678453884424035,0.7198163030998852,-0.9620206659012629,12,-2.6179938779914944,0.8259524977415319,1.5066411952499845,1.7204062820253507,1.1661169354894583,3.041377726750861,0.8862203562671345
grass,hourglass,-90.0,-1.4251052430156912,-1.6913126674320702,2.351075392269422,1.4760045924225027,12,-1.5707963267948966,1.8629722931526496,1.1606898510304338,1.3574705187326885,2.3849733812827836,6.943497895139687,2.0389007171947564
grass,hourglass,-30.0,-1.1701328522224048,0.3975889781859931,-0.5023126127603741,1.6089716253895356,12,-0.5235987755982988,0.8375418134916232,1.0891052607103509,1.0779893465679877,1.1257618440724253,3.6790060685583077,1.2028420938500484
grass,hourglass,30.0,-0.6928128587830082,0.8474244163796403,-0.6387906620742442,0.9107233065442021,12,0.5235987755982988,1.0011067142832542,1.4607340659923278,1.5936135507230809,1.1876429311605807,3.0897512437810946,0.8925811374376298
