surface,motion_type,angle_deg,target_angle,I_total,I_total_avg
linoleum,figure_eight,-94,-1.6421051712353922,3.7198622273249136,3.7198622273249136
linoleum,figure_eight,-88,-1.5415381282424712,3.7026406429391505,3.7026406429391505
linoleum,figure_eight,-82,-1.4383072977982574,3.831228473019518,3.831228473019518
linoleum,figure_eight,-76,-1.322592523804112,3.729047072330655,3.729047072330655
linoleum,figure_eight,-68,-1.1827908621006926,3.0470723306544203,3.0470723306544203
linoleum,figure_eight,-58,-1.0038429639097637,4.032146957520093,4.032146957520093
linoleum,figure_eight,-44,-0.7707371297097263,3.483352468427095,3.483352468427095
linoleum,figure_eight,-28,-0.4812665106860884,2.748564867967853,2.748564867967853
linoleum,figure_eight,-10,-0.1667429388735134,1.9150401836969,1.9150401836969
linoleum,figure_eight,7,0.1181358207821219,1.6199770378874856,1.6199770378874856
linoleum,figure_eight,19,0.3402918077502287,0.8771526980482205,0.8771526980482205
linoleum,figure_eight,29,0.5004446485593889,1.4512055109070034,1.4512055109070034
linoleum,figure_eight,35,0.6121168145451167,2.6394948335246844,2.6394948335246844
linoleum,figure_eight,39,0.6886905852363554,3.3708381171067736,3.3708381171067736
linoleum,figure_eight,42,0.7394052157192714,3.26406429391504,3.26406429391504
linoleum,figure_eight,44,0.7701129241086679,3.3777267508610795,3.3777267508610795
linoleum,figure_eight,45,0.7840994347376079,3.338691159586682,3.338691159586682
linoleum,figure_eight,45,0.782831401962003,2.869115958668197,3.1039035591274393
linoleum,figure_eight,44,0.766176349448499,3.400688863375431,3.389207807118255
linoleum,figure_eight,42,0.7323923002226258,2.5970149253731343,2.930539609644087
linoleum,figure_eight,39,0.6778152963348523,3.924225028702641,3.6475315729047075
linoleum,figure_eight,34,0.5960664329278719,3.2996555683122843,3.2996555683122843
linoleum,figure_eight,27,0.4772213300052965,2.1343283582089554,2.1343283582089554
linoleum,figure_eight,18,0.3074952738087436,2.6096440872560276,2.6096440872560276
linoleum,figure_eight,4,0.07416296311179,3.227324913892078,3.227324913892078
linoleum,figure_eight,-13,-0.2190359881285542,1.3846153846153846,1.3846153846153846
linoleum,figure_eight,-31,-0.533046179180653,0.5396096440872561,0.5396096440872561
linoleum,figure_eight,-47,-0.8141466348339119,1.8427095292766935,1.8427095292766935
linoleum,figure_eight,-59,-1.0377169834359017,2.484500574052813,2.484500574052813
linoleum,figure_eight,-69,-1.209000529303893,2.9414466130884045,2.9414466130884045
linoleum,figure_eight,-77,-1.343741789557583,3.5361653272101035,3.5361653272101035
linoleum,figure_eight,-83,-1.4565291566614595,3.8094144661308835,3.8094144661308835
linoleum,figure_eight,-89,-1.5586020862094487,3.7485648679678527,3.7485648679678527
linoleum,figure_eight,-95,-1.6596849425349065,3.9460390355912742,3.9460390355912742
linoleum,figure_eight,-101,-1.7686227838015482,3.4684270952927667,3.4684270952927667
linoleum,figure_eight,-109,-1.8968101943538889,3.427095292766935,3.427095292766935
linoleum,figure_eight,-118,-2.05751158377244,3.478760045924225,3.478760045924225
linoleum,figure_eight,-130,-2.2666247533851407,3.2388059701492535,3.2388059701492535
linoleum,figure_eight,-145,-2.5342202285032056,3.499425947187141,3.499425947187141
linoleum,figure_eight,-163,-2.844494384226344,2.0769230769230766,2.0769230769230766
linoleum,figure_eight,180,3.135338257988373,1.8071182548794487,1.8071182548794487
linoleum,figure_eight,165,2.8855663676518075,1.4408725602755452,1.4408725602755452
linoleum,figure_eight,155,2.701076285698577,1.2181400688863375,1.2181400688863375
linoleum,figure_eight,147,2.571004379902312,1.9070034443168773,1.9070034443168773
linoleum,figure_eight,142,2.4811589032326267,2.9632606199770377,2.9632606199770377
linoleum,figure_eight,139,2.4205568813225566,2.8507462686567164,2.9402985074626864
linoleum,figure_eight,136,2.3820789530185498,2.950631458094145,2.950631458094145
linoleum,figure_eight,135,2.361414637771536,3.2686567164179103,1.970723306544202
linoleum,figure_eight,45,0.7778423470692801,1.539609644087256,2.582472254114045
linoleum,figure_eight,43,0.7543845707183157,4.51435132032147,4.51435132032147
linoleum,figure_eight,41,0.7125428923855196,2.010332950631458,2.010332950631458
linoleum,figure_eight,37,0.6476297982839319,3.1067738231917335,3.1067738231917335
linoleum,figure_eight,32,0.5519143501437699,3.082663605051665,3.082663605051665
linoleum,figure_eight,24,0.4136377675495546,2.788748564867968,2.788748564867968
linoleum,figure_eight,13,0.2187717587297125,2.0918484500574053,2.0918484500574053
linoleum,figure_eight,-2,-0.0417339799976943,1.967853042479908,1.967853042479908
linoleum,figure_eight,-20,-0.3502616194474418,1.4087256027554533,1.4087256027554533
linoleum,figure_eight,-38,-0.6561739060633591,0.928817451205511,0.928817451205511
linoleum,figure_eight,-52,-0.9140356587373948,2.0918484500574053,2.0918484500574053
linoleum,figure_eight,-64,-1.1139842636039283,1.959816303099885,1.959816303099885
linoleum,figure_eight,-73,-1.268166723979428,3.198622273249139,3.198622273249139
linoleum,figure_eight,-80,-1.3922819237457755,3.5246842709529274,3.5246842709529274
linoleum,figure_eight,-86,-1.4994181101296449,4.218140068886338,4.218140068886338
linoleum,figure_eight,-92,-1.5999966065082716,3.6452353616532718,3.6452353616532718
linoleum,figure_eight,-98,-1.703242473332836,3.4247990815154994,3.4247990815154994
linoleum,figure_eight,-104,-1.8188967135582603,4.275545350172216,4.275545350172216
linoleum,figure_eight,-112,-1.958761258174952,2.74052812858783,2.74052812858783
linoleum,figure_eight,-122,-2.1376456646902597,3.404133180252583,3.404133180252583
linoleum,figure_eight,-136,-2.370793097420758,2.862227324913892,2.862227324913892
linoleum,figure_eight,-152,-2.6601980869329083,2.827784156142365,2.827784156142365
linoleum,figure_eight,-170,-2.9747339123312373,2.0998851894374284,2.0998851894374284
linoleum,figure_eight,173,3.0235931001743093,1.0918484500574053,1.0918484500574053
linoleum,figure_eight,161,2.801354984481351,1.1928817451205511,1.1928817451205511
linoleum,figure_eight,151,2.64113735137854,1.3524684270952927,1.3524684270952927
linoleum,figure_eight,145,2.5295318346298568,2.4684270952927667,2.4684270952927667
linoleum,figure_eight,141,2.4529269267357066,3.507462686567164,3.507462686567164
linoleum,figure_eight,138,2.402202737521605,3.284730195177956,3.284730195177956
linoleum,figure_eight,136,2.3714945755112007,3.0619977037887485,3.0063145809414467
linoleum,figure_eight,135,2.3574752875087097,3.862227324913892,2.6012246460007655
linoleum,figure_eight,135,2.358756599815998,3.454649827784156,2.814580941446613
linoleum,figure_eight,136,2.375404577916569,3.4179104477611943,3.1435132032146957
linoleum,figure_eight,138,2.40918825375928,2.647531572904707,2.9661308840413314
linoleum,figure_eight,141,2.4637507468503657,3.0424799081515497,3.2749712973593565
linoleum,figure_eight,146,2.5454896628431127,2.25947187141217,2.25947187141217
linoleum,figure_eight,153,2.664305265081812,2.9035591274397246,2.9035591274397246
linoleum,figure_eight,162,2.8339307334817643,2.7083811710677383,2.7083811710677383
linoleum,figure_eight,176,3.0672806475788312,2.389207807118255,2.389207807118255
linoleum,figure_eight,-167,-2.922696578895799,1.200918484500574,1.200918484500574
linoleum,figure_eight,-149,-2.6086555863708565,0.8760045924225027,0.8760045924225027
linoleum,figure_eight,-133,-2.327496998473863,1.7324913892078073,1.7324913892078073
linoleum,figure_eight,-121,-2.1039940770561443,2.6061997703788755,2.6061997703788755
linoleum,figure_eight,-111,-1.9330374837887567,2.4270952927669343,2.4270952927669343
linoleum,figure_eight,-103,-1.7981989927945494,3.7175660160734787,3.7175660160734787
linoleum,figure_eight,-97,-1.6853858154449863,4.091848450057405,4.091848450057405
linoleum,figure_eight,-91,-1.5832138792146515,4.521239954075775,4.521239954075775
linoleum,figure_eight,-85,-1.4821687988273944,3.9253731343283578,3.9253731343283578
linoleum,figure_eight,-79,-1.372968200490094,3.7462686567164183,3.7462686567164183
linoleum,figure_eight,-71,-1.2448337141219468,3.4121699196326056,3.4121699196326056
linoleum,figure_eight,-62,-1.0841293065432225,3.2479908151549943,3.2479908151549943
linoleum,figure_eight,-50,-0.8750705918759513,3.7566016073478763,3.7566016073478763
linoleum,figure_eight,-35,-0.6075530667826069,3.2376578645235363,3.2376578645235363
linoleum,figure_eight,-17,-0.2972326706874825,1.87256027554535,1.87256027554535
linoleum,figure_eight,0,0.0061832314597362,1.6567164179104479,1.6567164179104479
linoleum,figure_eight,15,0.2559388407272644,1.626865671641791,1.626865671641791
linoleum,figure_eight,25,0.4404530767378974,0.8289322617680827,0.8289322617680827
linoleum,figure_eight,33,0.5705228743728775,2.3191733639494836,2.3191733639494836
linoleum,figure_eight,38,0.6603844323509683,2.9047072330654418,2.9047072330654418
linoleum,figure_eight,41,0.7209924110323077,3.0459242250287026,2.5281285878300803
linoleum,figure_eight,44,0.7594976555343445,3.290470723306544,3.356295445847685
linoleum,figure_eight,45,0.7801746295086086,2.8289322617680828,2.6440872560275546
linoleum,figure_eight,135,2.363760414544894,1.5889781859931114,2.569460390355913
linoleum,figure_eight,137,2.38722299667074,5.030998851894374,4.923650975889782
linoleum,figure_eight,139,2.429079422372326,3.3788748564867968,3.086490623804057
linoleum,figure_eight,143,2.493988007361741,3.483352468427095,3.1423650975889776
linoleum,figure_eight,148,2.5897127474141763,3.296211251435132,2.8237657864523538
linoleum,figure_eight,156,2.7278666160385665,2.357060849598163,2.362227324913892
linoleum,figure_eight,167,2.92291563048346,2.021814006888633,2.3610792192881744
linoleum,figure_eight,-178,-3.099661812694064,2.442020665901263,2.147531572904707
linoleum,figure_eight,-160,-2.791220298414501,1.4638346727898965,1.3800229621125144
linoleum,figure_eight,-142,-2.485345299632052,0.7657864523536165,0.8582089552238805
linoleum,figure_eight,-128,-2.227515704448363,2.018369690011481,2.2181400688863375
linoleum,figure_eight,-116,-2.027539808188875,2.8955223880597014,2.9919632606199773
linoleum,figure_eight,-107,-1.8733881249596784,3.383467278989667,3.7508610792192876
linoleum,figure_eight,-100,-1.7492532521154571,3.35361653272101,3.8719862227324913
linoleum,figure_eight,-94,-1.642104805484626,3.9115958668197472,3.81572904707233
linoleum,figure_eight,-88,-1.5415335808584631,4.261768082663605,3.9822043628013777
linoleum,figure_eight,-82,-1.4382597910157302,3.5120551090700345,3.6716417910447765
linoleum,figure_eight,-76,-1.3225498654907637,3.57060849598163,3.6498277841561424
linoleum,figure_eight,-68,-1.1827331396607923,4.215843857634902,3.6314580941446613
linoleum,figure_eight,-58,-1.003800183117732,3.2123995407577497,3.622273249138921
linoleum,figure_eight,-44,-0.7707644220913572,2.809414466130884,3.1463834672789894
linoleum,figure_eight,-28,-0.4812468947601031,3.252583237657865,3.0005740528128593
linoleum,figure_eight,-10,-0.1667098533091951,2.2319173363949485,2.073478760045924
linoleum,figure_eight,7,0.1181315531841398,1.7772675086107923,1.698622273249139
linoleum,figure_eight,19,0.3403030859841954,0.9942594718714123,0.9357060849598164
linoleum,figure_eight,29,0.5003883540175594,1.2365097588978184,1.343857634902411
linoleum,figure_eight,35,0.6121024043317453,2.320321469575201,2.4799081515499424
linoleum,figure_eight,39,0.6887209456630541,3.316877152698048,3.537313432835821
linoleum,figure_eight,42,0.739425753676552,3.5384615384615383,3.1331802525832373
linoleum,figure_eight,44,0.7701159342856876,3.1733639494833525,3.3105625717566016
linoleum,figure_eight,45,0.7840995838749311,2.9035591274397246,2.6959816303099884
linoleum,figure_eight,45,0.7828339016584385,3.675086107921929,2.8591657099119785
linoleum,figure_eight,44,0.7661766744076631,2.5040183696900113,3.1492537313432836
linoleum,figure_eight,42,0.732402745277861,3.721010332950631,3.280137772675086
linoleum,figure_eight,39,0.6778289207564434,2.7772675086107923,3.3473019517795635
linoleum,figure_eight,34,0.5960571754941395,3.064293915040184,3.181974741676234
linoleum,figure_eight,27,0.477234001927736,2.594718714121699,2.3645235361653274
linoleum,figure_eight,18,0.3075353302587926,2.5591274397244548,2.584385763490241
linoleum,figure_eight,4,0.074199192843551,2.1676234213547647,2.6974741676234215
linoleum,figure_eight,-13,-0.2190072588696335,1.7083811710677381,1.5464982778415615
linoleum,figure_eight,-31,-0.5333905789657536,0.4535017221584386,0.49655568312284737
linoleum,figure_eight,-47,-0.8145287534864195,1.4110218140068886,1.626865671641791
linoleum,figure_eight,-59,-1.0374028142497067,2.8691159586681976,2.6768082663605055
linoleum,figure_eight,-69,-1.2085650302872428,3.5510907003444316,3.246268656716418
linoleum,figure_eight,-77,-1.3434152789715876,4.1940298507462686,3.865097588978186
linoleum,figure_eight,-83,-1.4562507276188683,4.4902411021814,4.149827784156142
linoleum,figure_eight,-89,-1.5584103866961647,3.064293915040184,3.4064293915040182
linoleum,figure_eight,-95,-1.6594157120195523,3.8128587830080365,3.879448909299655
linoleum,figure_eight,-101,-1.768628626361824,3.6096440872560276,3.539035591274397
linoleum,figure_eight,-109,-1.8967871883394416,3.176808266360505,3.30195177956372
linoleum,figure_eight,-118,-2.0575393974882683,3.0332950631458093,3.2560275545350175
linoleum,figure_eight,-130,-2.266589575961099,3.336394948335247,3.2876004592422503
